варијабле, варијабла
варијабли, варијабла
године, година
годину, година
графикона, график
графикони, график
графикону, график
графиконе, график
дистрибуцијама, дистрибуција
дистрибуције, дистрибуција
дистрибуцији, дистрибуција
дистрибуцију, дистрибуција
државе, држава
земље, земља
испитаника, испитаник
колоне, колона
колони, колона
колону, колона
линијама, линија
линије, линија
линији, линија
песама, песма
песме, песма
података, податак
податке, податак
подацима, податак
подаци, податак
стубића, стубић
стубиће, стубић
стубићи, стубић
стубићима, стубић
табела, табела
табелама, табела
табеле, табела
табели, табела
табелу, табела
функције, функција
функцији, функција
функцију, функција